,Abs. Location,Category,Color,Entry-Level,Identifier,Image Number,Other,Referring Expression,Rel. Location,Rel. Object,Size,Testset,prev_file,same,file,region,ref_a1,ref_a2,ref_a3,ref_h_a2,ref_h_a3,ref_h_nouns,ref_gentype
1095,,bed,pink,bed,537fb799d31907d16d000ae3,4640_1.jpg,,pink bed,,,,A,4638_19.jpg,False,4640,1,bottom left,ground bottom left corner,ground bottom left person in front,sweater or wood bottom left corner,sweater or wood bottom left person in front,sweater:wood,a1
1098,right,bed,,bed,537fb3e8d31907d16d0006a7,4640_6.jpg,,bed on upper right,,,,A,4640_1.jpg,False,4640,6,far right,man on far right,man in blue hat on right,way or hat on far right,way or hat in blue hat on right,way:hat,a1
1101,,child-boy,,boy,538384f3ffd5268914000058,4697_4.jpg,,boy all the way on left,,,,A,4640_6.jpg,False,4697,4,on left,guy on left person,guy in black jacket on left,women or boy on left person,women or boy in black jacket on left,women:boy,a1
1104,,lamp,,lamp,537fc04cd31907d16d00151d,4785_6.jpg,,lamp,,,,A,4697_4.jpg,False,4785,6,lower right,brick wall on right,brick wall lamp post on right,lamp or orange wall on right,lamp or orange wall lamp post on right,lamp:orange,a1
1107,,flower,,flower,537fc1fdd31907d16d0016f6,4841_1.jpg,,flower far left,,,,A,4785_6.jpg,False,4841,1,bottom left,person on left corner,red flower bush on left corner,flower or chairs on left corner,red flower or chairs bush on left corner,flower:chairs,a2
1110,,flower,,flower,537fafe3d31907d16d00026d,4852_1.jpg,,flower,,,,A,4841_1.jpg,False,4852,1,top middle,rock thing on table,large rock brown thing on table,leaves or plant thing on table,large leaves or plant brown thing on table,leaves:plant,a1
1113,,dish,green,food,537fae98d31907d16d000102,4872_8.jpg,,green food,,,,A,4852_1.jpg,False,4872,8,on right,man on right side,man in white thing on right,llama or food on right side,llama or food in white thing on right,llama:food,a0
1116,upper,leaf,,leaf,537fc1f2d31907d16d0016e8,4875_3.jpg,,upper rightmost leaf,,,,A,4872_8.jpg,False,4875,3,top right,hat on far right,green hat on far right corner,branch or leaf on far right,green branch or leaf on far right corner,branch:leaf,a2
1119,,fruit,yellow,fruit,537fd1cdd31907d16d002111,4883_3.jpg,,yellow fruit behind top piece of yellow fruit,prep_behind,piece,,A,4875_3.jpg,False,4883,3,in middle,guy in front center,big leaf flower pot in middle,leaf or box in front center,big leaf or box flower pot in middle,leaf:box,a2
1122,,bed,,bed,53838654ffd526891400013d,4900_1.jpg,,bed,,,,A,4883_3.jpg,False,4900,1,bottom left,bed on bottom left,brown thing on bottom left bed,bed or boat on bottom left,brown thing on bottom left bed or boat,bed:boat,a1
1125,,public-sign,,circle,537fe9a5d31907d16d002a81,4920_1.jpg,,circle sign,,,,A,4900_1.jpg,False,4920,1,upper middle,guys head in middle,yellow sign in middle guys head,sign or guys head in middle,yellow sign or guys in middle guys head,sign:guys,a1
1128,back,llama,,llama,537ff3fdd31907d16d002b89,4951_5.jpg,,llama far back,,,,A,4920_1.jpg,False,4951,5,top right,rock wall on right,very top right tree in background,horse or mans wall on right,very top right horse or mans in background,horse:mans,a1
1131,,hill,,mountain,537fe66dd31907d16d002a2f,4956_4.jpg,,mountain ontop the lake,,,,A,4951_5.jpg,False,4956,4,in background,mountain in background mountains,big boat in background hills mountains,hill or hills in background mountains,big hill or hills in background hills mountains,hill:hills,a1
1134,middle,bird,,bird,538385d1ffd52689140000df,4973_2.jpg,,middle bird facing down,,,,A,4956_4.jpg,False,4973,2,in front,girl in front left,girl in white area on left,bird or girl in front left,bird or girl in white area on left,bird:girl,a1
1137,,hut,,roof,537fd344d31907d16d002171,5033_3.jpg,,roof thingy,,,,A,4973_2.jpg,False,5033,3,top right,building thing in middle,white thing in front center building,roof or frame thing in middle,white thing in front center roof or frame,roof:frame,a2
1140,,eagle,,bird,5383956e793954ad2d00017c,5153_2.jpg,,bird,,,,A,5033_3.jpg,False,5153,2,in front,girls head in front,dark brown horse on left side,llama or bird head in front,dark brown llama or bird on left side,llama:bird,a1
1143,,bus,,bus,537fb037d31907d16d0002d9,5201_2.jpg,,bus,,,,A,5153_2.jpg,False,5201,2,top right,brick wall right corner,gray brick wall on right corner,guys or wood wall right corner,gray guys or wood wall on right corner,guys:wood,a1
1146,,tree,,tree,537fcb27d31907d16d001f51,57_3.jpg,,very left trees,,,,A,5201_2.jpg,False,57,3,on left,palm tree on left,palm tree on far left side,shrubs or palm tree on left,shrubs or palm tree on far left side,shrubs:palm,a3
1149,,vegetable,,bundle,537fc22ad31907d16d001730,6215_5.jpg,,very top bundle,,,,A,57_3.jpg,False,6215,5,top right,very top right corner,yellow building on top right corner,very top right corner,yellow fence or curtains on top right corner,fence:curtains,a2
1152,,dog,,dog,537fc1b6d31907d16d0016a4,6252_3.jpg,,dog,,,,A,6215_5.jpg,False,6252,3,bottom left,chair on far left,brown thing on far left corner,horse or chair on far left,brown thing on far left corner,horse:chair,a1
1155,,bird,,,53838779ffd5268914000267,6268_1.jpg,,whatever that is lol,,,,A,6252_3.jpg,False,6268,1,bottom center,trees in front center,bushes guys face on bottom center,birds or bird in front center,birds or bird guys face on bottom center,birds:bird,a1
1158,right,dish,,plate,537fe844d31907d16d002a61,6349_3.jpg,,right plate,,,,A,6268_1.jpg,False,6349,3,bottom right,flower pot on right,red flower pot on far right,painting or jacket pot on right,red painting or jacket pot on far right,painting:jacket,a1
1161,,castle,,building,537fb07bd31907d16d000334,6356_2.jpg,,buliding,,,,A,6349_3.jpg,False,6356,2,top right,building on right corner,big white building on right corner,bldg or spiders on right corner,big white bldg or spiders on right corner,bldg:spiders,a1
1164,,ship,,boat,537fb9c9d31907d16d000d51,6357_3.jpg,,huge boat,,,huge,A,6356_2.jpg,False,6357,3,top left,sky upper left corner,big boat in upper left corner,boat or city upper left corner,big boat or city in upper left corner,boat:city,a2
1167,right,woman,,lady,537fca2bd31907d16d001ef7,6412_2.jpg,,right lady,,,,A,6357_3.jpg,False,6412,2,far right,person on far right,person in front row far right,chick or lady on far right,chick or lady in front row far right,chick:lady,a2
1170,,surfboard,,board,538386efffd52689140001ee,6493_5.jpg,,farthest board to the right,,,,A,6412_2.jpg,False,6493,5,far right,chair on right side,white chair on far right side,pants or chair on right side,white pants or chair on far right side,pants:chair,a1
1173,,lake,,water,537faf08d31907d16d00016b,6666_1.jpg,,water,,,,A,6493_5.jpg,False,6666,1,on left,water on left side,water on left side in middle,lake or water on left side,lake or water on left side in middle,lake:water,a1
1176,,lake,,water,537fec95d31907d16d002ad0,6889_3.jpg,,water,,,,A,6666_1.jpg,False,6889,3,top right,sky clouds in water,sky clouds in background land water,clouds or water clouds in water,clouds or water clouds in background land water,clouds:water,a1
1179,,vegetable,,tomato,5383aa7c951f1e2b40000077,7002_7.jpg,,tomato left left side one,,,,A,6889_3.jpg,False,7002,7,in front,person in front left,person in red thing on left,food or persons in front left,food or persons in red thing on left,food:persons,a2
1182,,dog,,animal,537fafb4d31907d16d000235,7013_2.jpg,,Only animal.,,,,A,7002_7.jpg,False,7013,2,far left,people on far left,dark brown horse on far left,horse or animal on far left,dark brown horse or animal on far left,horse:animal,a1
1185,,public-sign,yellow,sign,537faed1d31907d16d000136,7023_6.jpg,,yellow sign with red words on bus,prep_with,word,,A,7013_2.jpg,False,7023,6,bottom right,wood floor bottom right,brown wood floor bottom right corner,column or steps floor bottom right,brown column or steps floor bottom right corner,column:steps,a1
1188,,bottle,,bottle,537fb7c6d31907d16d000b15,7062_5.jpg,,coke bottle left,,,,A,7023_6.jpg,False,7062,5,in middle,lamp post on left,lamp post on left in middle,bottle or post post on left,bottle or post post on left in middle,bottle:post,a3
1191,front,boat,,hay,538379e331bd052909000008,7063_4.jpg,,hay in front,,,,A,7062_5.jpg,False,7063,4,bottom left,ground bottom left corner,man in front bottom left corner,spiders or jacket bottom left corner,spiders or jacket in front bottom left corner,spiders:jacket,a1
1194,,cloth,,outfit,537fb7efd31907d16d000b4c,7065_7.jpg,,girls outfit,,,,A,7063_4.jpg,False,7065,7,bottom center,woman in front center,woman in red thing on table,food or woman in front center,food or woman in red thing on table,food:woman,a1
1197,left,house,,building,537fcb3dd31907d16d001f5e,7067_5.jpg,,left building,,,,A,7065_7.jpg,False,7067,5,on left,brick wall on left,brick wall on far left side,sand or road wall on left,sand or road wall on far left side,sand:road,a1
1200,,bottle,,ketchup,537fae80d31907d16d0000ed,7094_5.jpg,,ketchup,,,,A,7067_5.jpg,False,7094,5,on right,water bottle in front,guy in red bag on right,bottle or bench bottle in front,bottle or bench in red bag on right,bottle:bench,a2
1203,,llama,,animal,538394d6793954ad2d000155,7139_6.jpg,,center animal,,,,A,7094_5.jpg,False,7139,6,in middle,person in front middle,person in middle horse on left,dog or llama in front middle,dog or llama in middle horse on left,dog:llama,a1
1206,,paper,,paper,5383811affd5268914000016,7154_4.jpg,,paper on top of control,prep_on_top,control,,A,7139_6.jpg,False,7154,4,in middle,woman in front center,blue shirt girl in white table,paper or book in front center,blue paper or book girl in white table,paper:book,a1
1209,,llama,,llama,53839266793954ad2d000097,7158_6.jpg,,llama looking right in the middle,,,,A,7154_4.jpg,False,7158,6,on left,rock in middle left,big rock on left in middle,llama or birds in middle left,big llama or birds on left in middle,llama:birds,a1
1212,,child-boy,,boy,537fe467d31907d16d0029d8,719_6.jpg,,boy bottom left,,,,A,7158_6.jpg,False,719,6,on left,guy on far left,guy in blue shirt on left,dude or boy on far left,dude or boy in blue shirt on left,dude:boy,a1
1215,,hut,,tent,537fbe0ad31907d16d001284,7235_3.jpg,,tent in front of the building in middle,prep_in_front,building,,A,719_6.jpg,False,7235,3,on right,palm tree on right,big tree on right in middle,hut or fountain tree on right,big hut or fountain on right in middle,hut:fountain,a2
1218,,child-girl,,girl,537faee0d31907d16d000143,726_11.jpg,,girl on far left in front,,,,A,7235_3.jpg,False,726,11,far left,person on far left,person in black bag on left,girls or kid on far left,girls or kid in black bag on left,girls:kid,a1
1221,left,public-sign,,window,537fcec2d31907d16d002050,7366_4.jpg,,window on left,,,,A,726_11.jpg,False,7366,4,top left,building on far left,big building on far left side,windows or window on far left,big windows or window on far left side,windows:window,a2
1224,left,child-girl,,child,538387d2ffd52689140002cc,7406_2.jpg,,left child,,,,A,7366_4.jpg,False,7406,2,far left,guy on far left,blue shirt guy on far left,way or jacket on far left,blue way or jacket guy on far left,way:jacket,a1
1227,,building,,column,537fb719d31907d16d000a53,7409_2.jpg,,columns,,,,A,7406_2.jpg,False,7409,2,top right,building on right side,anywhere in white building on right,heads or train on right side,anywhere in white heads or train on right,heads:train,a1
1230,left,mountain,,island,53838580ffd52689140000a4,7442_5.jpg,,island on the left,,,,A,7409_2.jpg,False,7442,5,on left,water on left side,dark area on far left side,strip or cloud on left side,dark strip or cloud on far left side,strip:cloud,a1
1233,,handcraft,,,537fb901d31907d16d000c80,7452_1.jpg,,anywhere,,,,A,7442_5.jpg,False,7452,1,bottom left,anywhere on left side,little girl in pink purple jacket,anywhere on left boat or sign,little boat or sign in pink purple jacket,boat:sign,a1
1236,middle,waterfall,,water,537fd472d31907d16d0021a8,7475_1.jpg,,middle water fall,,,,A,7452_1.jpg,False,7475,1,in middle,tree trunk on right,big tree trunk on right side,waterfall or trunk trunk on right,big waterfall or trunk trunk on right side,waterfall:trunk,a1
1239,,bottle,,water,537fc081d31907d16d001566,7479_4.jpg,,water bvottle,,,,A,7475_1.jpg,False,7479,4,in front,water bottle in front,man in blue shirt on left,girl or camera bottle in front,girl or camera in blue shirt on left,girl:camera,a1
1242,,vegetable,,onion,537fb02bd31907d16d0002c3,7504_10.jpg,,haha! onion/leaks in back,,,,A,7479_4.jpg,False,7504,10,top right,top right in middle,white thing in middle top right,top right in middle,white thing in middle top right,roof:pile,a2
1245,,vegetable,purple,fruit,537fb947d31907d16d000ccf,7504_4.jpg,,purple fruits,,,,A,7504_10.jpg,False,7504,4,on right,trees on right side,green bush on right side table,group or fruit on right side,green group or fruit on right side table,group:fruit,a1
1248,,table,,plate,537fcfc4d31907d16d002090,7505_9.jpg,,any of the plates on the table,,,,A,7504_4.jpg,False,7505,9,in middle,man in front center,man in red jacket on right,lady or jacket in front center,lady or jacket in red jacket on right,lady:jacket,a2
1251,right,bicycle,,bike,537fb725d31907d16d000a65,7519_9.jpg,,right bike,,,,A,7505_9.jpg,False,7519,9,in front,guy in front tire,guy in front tire on left,bag or group in front tire,bag or group in front tire on left,bag:group,a1
1254,,man,blue,dude,5383926e793954ad2d00009b,7552_5.jpg,,dude in blue,,,,A,7519_9.jpg,False,7552,5,in middle,guy in orange shirt,light blue shirt guy in middle,shirt or way in orange shirt,shirt or way blue shirt guy in middle,shirt:way,a2
1257,,eagle,,bird,537faf82d31907d16d0001fb,7654_3.jpg,,bird,,,,A,7552_5.jpg,False,7654,3,on left,sky clouds on left,dude in white clouds on left,dude or snow clouds on left,dude or snow in white clouds on left,dude:snow,a1
1260,,lamp,,lamp post,537fe551d31907d16d002a04,7676_5.jpg,,right lamp post,,,,A,7654_3.jpg,False,7676,5,far right,lamp on far right,wood thing on far right side,lamp or wood on far right,lamp or wood thing on far right side,lamp:wood,a1
1263,,balloon,,balloon,537fc25ad31907d16d00176a,767_9.jpg,,balloons,,,,A,7676_5.jpg,False,767,9,top right,woman in top right,woman in red board on right,mans or row in top right,mans or row in red board on right,mans:row,a2
1266,,llama,,ass,537fb8c8d31907d16d000c3a,7684_9.jpg,,ass of animal in middle,prep_in_middle,animal,,A,767_9.jpg,False,7684,9,in middle,guy in front center,yellow shirt guy in front center,animal or dude in front center,yellow animal or dude guy in front center,animal:dude,a1
1269,,woman,,face,537fb6f1d31907d16d000a1b,7708_4.jpg,,girls face,,,,A,7684_9.jpg,False,7708,4,in middle,man in middle person,white shirt guy in middle person,chick or women in middle person,white chick or women guy in middle person,chick:women,a1
1272,,hat,,hat,53839485793954ad2d00013d,7747_10.jpg,,hat far left,,,,A,7708_4.jpg,False,7747,10,top left,person on left side,person in red thing on left,dudes or cake on left side,dudes or cake in red thing on left,dudes:cake,a2
1275,,church,,building,537fd08cd31907d16d0020c6,7748_2.jpg,,building,,,,A,7747_10.jpg,False,7748,2,in middle,anywhere in middle building,yellow building clock tower in middle,anywhere in middle church or clock,yellow church or clock clock tower in middle,church:clock,a1
1278,,llama,,llama,5383866dffd5268914000157,7796_1.jpg,,LLLAAAAAAMAAAAAAAA,,,,A,7748_2.jpg,False,7796,1,in front,lady in front llama,lady in front llama on right,llama or animals in front llama,llama or animals in front llama on right,llama:animals,a1
1281,,hill,,stick,537fb7b9d31907d16d000b0a,7920_3.jpg,,that last picture tho... the sticks on the ground on left,,,,A,7796_1.jpg,False,7920,3,far left,trees on left corner,stone wall on far left corner,mountain or stone on left corner,mountain or stone wall on far left corner,mountain:stone,a1
1284,bottom,book,,paper,538386c9ffd52689140001c2,7983_4.jpg,,paper in front of girlon bottom left,prep_in_front_of,bottom,,A,7920_3.jpg,False,7983,4,bottom left,very bottom left corner,snow on left corner very bottom,very bottom left corner,snow or book on left corner very bottom,snow:book,a2
1287,,book,,book,537fb078d31907d16d000330,7983_9.jpg,,book middle one,,,,A,7983_4.jpg,False,7983,9,in middle,man in middle window,man in middle window on right,paper or desk in middle window,paper or desk in middle window on right,paper:desk,a2
1290,,church,,building,537fb85ad31907d16d000bc7,8009_4.jpg,,building,,,,A,7983_9.jpg,False,8009,4,top left,building on top left,clouds in white building on left,church or clock on top left,church or clock in white building on left,church:clock,a3
1293,,balloon,,balloon,538386f5ffd52689140001f5,8076_5.jpg,,lower left balloon,,,,A,8009_4.jpg,False,8076,5,bottom right,person in front right,person in red thing on right,face or mans in front right,face or mans in red thing on right,face:mans,a2
1296,,monument,,statue,537fb06cd31907d16d00031e,8103_3.jpg,,the statue but not the people,,,,A,8076_5.jpg,False,8103,3,,,,,,,
1299,,man,red,guy,537fc783d31907d16d001d53,8172_12.jpg,,red guy left sitting,,,,A,8103_3.jpg,False,8172,12,left corner,person on left corner,red shirt guy on left corner,girl or child on left corner,red girl or child guy on left corner,girl:child,a1
1302,,cup,,glass,537fd632d31907d16d00221f,8200_1.jpg,,glass,,,,A,8172_12.jpg,False,8200,1,in front,man in front center,man in black jacket on right,woman or table in front center,woman or table in black jacket on right,woman:table,a1
1305,,woman,,lady,537fca40d31907d16d001eff,8211_2.jpg,,lady in checkered shirt,prep_in,shirt,,A,8200_1.jpg,False,8211,2,in front,guy in orange shirt,guy in blue hat on left,lady or dude in orange shirt,lady or dude in blue hat on left,lady:dude,a2
1308,right,glass,,cup,537fcf2bd31907d16d002066,8280_5.jpg,,2nd from right cup in front,,,,A,8211_2.jpg,False,8280,5,bottom right,man in front right,man in front tire on right,pot or pillar in front right,pot or pillar in front tire on right,pot:pillar,a2
1311,,column,white,pillar,53839288793954ad2d0000a4,8336_4.jpg,,white pillar left,,,,A,8280_5.jpg,False,8336,4,on left,building on left corner,yellow building on left window door,pillar or curtains on left corner,yellow pillar or curtains on left window door,pillar:curtains,a2
1314,top,bicycle,,bike,537fb721d31907d16d000a5e,8356_2.jpg,,bikes on top,,,,A,8336_4.jpg,False,8356,2,on left,tree on left side,guy in front tire on left,bushes or bike on left side,bushes or bike in front tire on left,bushes:bike,a2
1317,rightmost,rafter,,guy,537fb8ead31907d16d000c65,8368_3.jpg,,rightmost guy,,,,A,8356_2.jpg,False,8368,3,on right,guy on right side,water bottle on far right side,row or bottle on right side,row or bottle bottle on far right side,row:bottle,a2
1320,left,hill,,hill,537fcceed31907d16d001fe6,8374_2.jpg,,left hill,,,,A,8368_3.jpg,False,8374,2,top left,mountain on left side,dark area on left side mountain,mountain or hill on left side,dark mountain or hill on left side mountain,mountain:hill,a2
1323,left,bicycle,,bike,537fe334d31907d16d002977,8376_1.jpg,,bike on left,,,,A,8374_2.jpg,False,8376,1,on left,man on far left,man in front tire on left,bike or table on far left,bike or table in front tire on left,bike:table,a2
1326,right,bicycle,,bike,538386d0ffd52689140001c8,8376_2.jpg,,right bike,,,,A,8376_1.jpg,False,8376,2,in front,man in front right,man in front guy on right,bike or dude in front right,bike or dude in front guy on right,bike:dude,a1
1329,,cloth,brown,pillow,537fce32d31907d16d002037,8421_10.jpg,,brown pillow on left chair,prep_on,chair,,A,8376_2.jpg,False,8421,10,bottom left,guy on far left,guy in black shirt on left,dudes or screen on far left,dudes or screen in black shirt on left,dudes:screen,a1
1332,,woman,,person,537fe2e2d31907d16d00293f,8442_6.jpg,,half of person left,,,,A,8421_10.jpg,False,8442,6,far left,person on far left,leftmost person on far left side,wood or dude on far left,leftmost wood or dude on far left side,wood:dude,a3
1335,,glass,,candle,5383879affd5268914000292,8473_8.jpg,,the candle at very bottom right,,,,A,8442_6.jpg,False,8473,8,bottom right,person on right corner,white thing on bottom right corner,orange or bottle on right corner,white thing on bottom right corner,orange:bottle,a2
1338,,window,,window,537fca7ed31907d16d001f18,8545_4.jpg,,big gated window on right of white section,,,,A,8473_8.jpg,False,8545,4,bottom right,woman on far right,woman in black bag on right,balcony or church on far right,balcony or church in black bag on right,balcony:church,a2
1341,,hill,,mountain,537fcce0d31907d16d001fe2,8555_2.jpg,,mountain,,,,A,8545_4.jpg,False,8555,2,in background,mountain in background hills,mountain in background hills on left,mountain or hills in background hills,mountain or hills in background hills on left,mountain:hills,a1
1344,,paper,white,board,5383913b793954ad2d000034,855_4.jpg,,white board,,,,A,8555_2.jpg,False,855,4,top right,wall on right side,small white wall on right side,sign or box on right side,small white sign or box on right side,sign:box,a1
1347,,book,,book,537fd68bd31907d16d002245,8576_9.jpg,,book next to pink shirt,prep_next_to,shirt,,A,855_4.jpg,False,8576,9,bottom right,guy in bottom right,white shirt guy in bottom right,paper or desk in bottom right,white paper or desk guy in bottom right,paper:desk,a2
1350,right,hat,,hat,537fcbd7d31907d16d001f8b,8587_9.jpg,,hat right,,,,A,8576_9.jpg,False,8587,9,far right,person on far right,yellow thing on far right side,kids or mans on far right,yellow thing on far right kids or mans,kids:mans,a1
1353,,house,,building,538387f6ffd5268914000303,8597_4.jpg,,left most building,,,,A,8587_9.jpg,False,8597,4,bottom left,lamp post on left,lamp post on far left side,house or bus post on left,house or bus post on far left side,house:bus,a2
1356,right,plant-pot,,pot,53838660ffd526891400014b,8651_5.jpg,,pot on baclony far right,prep_on,baclony,,A,8597_4.jpg,False,8651,5,far right,building on far right,white building on far right side,food or land on far right,white food or land on far right side,food:land,a2
1359,right,bottle,,jug,537fde16d31907d16d002619,8716_7.jpg,,jug right,,,,A,8651_5.jpg,False,8716,7,on right,guy on far right,guy in front tire on right,bottle or stand on far right,bottle or stand in front tire on right,bottle:stand,a1
1362,,kitchen-pot,,plate,537fc160d31907d16d001643,8751_5.jpg,,that was it.... plate woman is holding right side blue jacket,,,,A,8716_7.jpg,False,8751,5,in front,man in front right,man in white thing on right,light or sweater in front right,light or sweater in white thing on right,light:sweater,a1
1365,front,kitchen-pot,,plate,537fc160d31907d16d001640,8758_12.jpg,,plate in front of bald man front left,prep_in_front_of,front,,A,8751_5.jpg,False,8758,12,bottom left,guy on bottom left,guy in yellow thing on left,clock or board on bottom left,clock or board in yellow thing on left,clock:board,a2
1368,front,paper,white,paper,537ff1eed31907d16d002b65,8835_19.jpg,,front left white paper near yellow book,prep_near,book,,A,8758_12.jpg,False,8835,19,bottom left,very bottom left corner,sidewalk on left corner very bottom,very bottom left corner,desk or plate on left corner very bottom,desk:plate,a2
1371,,hill,,mountain,53839510793954ad2d000168,8866_2.jpg,,mountain,,,,A,8835_19.jpg,False,8866,2,bottom right,mountain area in middle,brown hills in middle bottom right,hill or hills area in middle,brown hill or hills in middle bottom right,hill:hills,a1
1374,,surfboard,,board,53838487ffd5268914000032,8875_6.jpg,,board under guys feet sitting down,prep_under,foot,,A,8866_2.jpg,False,8875,6,bottom right,man in front right,man in front chair on right,chair or heads in front right,chair or heads in front chair on right,chair:heads,a1
1377,left,seal,,seal,538384e7ffd526891400004f,8940_3.jpg,,seal on the left,,,,A,8875_6.jpg,False,8940,3,top left,top left in background,guys head in background on left,top left in background,seal or birds head in background on left,seal:birds,a2
1380,right,building,,building,537fcacad31907d16d001f34,8962_5.jpg,,buildings on the right,,,,A,8940_3.jpg,False,8962,5,on right,building on right side,white building on right side buildings,buildings or building on right side,white buildings or building on right side buildings,buildings:building,a1
1383,,chair,,chair,537fc079d31907d16d00155a,8973_9.jpg,empty,rightmost circular empty chair,,,,A,8962_5.jpg,False,8973,9,top right,flower pot on right,kid in blue hat on right,pot or stand pot on right,pot or stand in blue hat on right,pot:stand,a2
1386,left,road,,ground,537fafbcd31907d16d000240,9097_5.jpg,,ground on left,,,,A,8973_9.jpg,False,9097,5,bottom left,ground bottom left corner,grass on far left corner ground,ground or street bottom left corner,ground or street on far left corner ground,ground:street,a2
1389,,road,,ground,537fb8fdd31907d16d000c7b,9118_9.jpg,,ground on the very bottom right corner,prep_on,corner,,A,9097_5.jpg,False,9118,9,bottom right,ground bottom right side,ground bottom sand on right side,floor or street bottom right side,floor or street bottom sand on right side,floor:street,a2
1392,,fruit,,fruit,537fbda2d31907d16d001201,9132_10.jpg,,fruit in scale,prep_in,scale,,A,9118_9.jpg,False,9132,10,top left,very top left corner,woman in red thing on left,very top left corner,orange or row in red thing on left,orange:row,a2
1395,left,woman,,lady,53839207793954ad2d000075,9169_7.jpg,,lady on the left,,,,A,9132_10.jpg,False,9169,7,far left,person on far left,person in black jacket on left,jacket or camera on far left,jacket or camera in black jacket on left,jacket:camera,a1
1398,,dish,,plate,537faea3d31907d16d00010d,9193_5.jpg,,plate in front of woman,prep_in_front,woman,,A,9169_7.jpg,False,9193,5,bottom right,guy in front right,guy in red thing on right,food or plate in front right,food or plate in red thing on right,food:plate,a2
1401,,dog,blue,rock,537fd2f0d31907d16d00215e,9216_3.jpg,,rock below middle guy in blue,prep_below,guy,,A,9193_5.jpg,False,9216,3,bottom left,guy in front left,man in front guy on left,fruit or orange in front left,fruit or orange in front guy on left,fruit:orange,a2
1404,,window,,window,537fad92d31907d16d00001c,9230_3.jpg,,window she is looking out of,,,,A,9216_3.jpg,False,9230,3,top left,lady in middle window,lady in middle window top left,head or bus in middle window,head or bus in middle window top left,head:bus,a1
1407,,table,,table,537fc0fad31907d16d0015d8,9320_3.jpg,,table,,,,A,9230_3.jpg,False,9320,3,bottom left,ground bottom left bed,ground in red chair bottom left,bed or table bottom left bed,bed or table in red chair bottom left,bed:table,a1
1410,left,child-girl,,girl,537fea90d31907d16d002a9a,9336_2.jpg,,left girl,,,,A,9320_3.jpg,False,9336,2,in background,woman in orange shirt,woman in blue shirt on left,boy or child in orange shirt,boy or child in blue shirt on left,boy:child,a1
1413,,bird,,bird,53838a89ffd526891400062e,9342_1.jpg,,bird,,,,A,9336_2.jpg,False,9342,1,in front,guy in front center,green shirt guy in front center,bird or dude in front center,green bird or dude guy in front center,bird:dude,a1
1416,bottom,plant-pot,,vase,537fb026d31907d16d0002be,9347_7.jpg,orangish,bottom orangish vase,,,,A,9342_1.jpg,False,9347,7,bottom left,water bottle in front,water bottle in front bottom left,floor or cup bottle in front,floor or cup bottle in front bottom left,floor:cup,a3
1419,,train,,train,53839611793954ad2d00019e,9350_4.jpg,,train,,,,A,9347_7.jpg,False,9350,4,left corner,anywhere on left corner,white vehicle tire on left corner,anywhere on left corner,white vehicle or train tire on left corner,vehicle:train,a1
1422,,public-sign,,sign,537fb7f6d31907d16d000b55,9359_3.jpg,,sign,,,,A,9350_4.jpg,False,9359,3,on left,wood floor on left,building in green sign on left,railing or sign floor on left,railing or sign in green sign on left,railing:sign,a1
1425,,paper,,picture,537fc19dd31907d16d001683,9387_12.jpg,,hanging pictures on right top side,,,,A,9359_3.jpg,False,9387,12,top right,tree on right corner,brick wall on top right corner,house or buildings on right corner,house or buildings wall on top right corner,house:buildings,a2
1428,,lamp,,light,53839055793954ad2d000005,9394_8.jpg,,light over right shoulder,,,,A,9387_12.jpg,False,9394,8,on left,lamp post on left,lamp post on far left side,pole or column post on left,pole or column post on far left side,pole:column,a1
1431,,glass,,drink,5383855affd526891400008c,9403_1.jpg,,his drink,,,,A,9394_8.jpg,False,9403,1,bottom left,orange thing on left,glass in black thing on left,dudes or stand thing on left,dudes or stand in black thing on left,dudes:stand,a2
1434,,road,,ground,537fafb8d31907d16d000239,9410_2.jpg,,ground,,,,A,9403_1.jpg,False,9410,2,bottom right,ground bottom right corner,ground in front bottom right corner,sidewalk or sea bottom right corner,sidewalk or sea in front bottom right corner,sidewalk:sea,a1
1437,,door,,door,537fbd88d31907d16d0011eb,9415_12.jpg,,door way up stairs,,,,A,9410_2.jpg,False,9415,12,top left,orange thing on left,man in black thing on left,doorway or house thing on left,doorway or house in black thing on left,doorway:house,a2
1440,top,fence,,fence,537faf67d31907d16d0001df,9418_3.jpg,,fence on top,,,,A,9415_12.jpg,False,9418,3,top right,sidewalk very top right,ceiling lights on very top right,strip or ceiling very top right,strip or ceiling lights on very top right,strip:ceiling,a2
1443,,man,green,hat,537fe2d0d31907d16d002934,9426_4.jpg,dopey,dopey green hat,,,,A,9418_3.jpg,False,9426,4,in middle,man in orange shirt,man in black shirt on left,dude or chick in orange shirt,dude or chick in black shirt on left,dude:chick,a1
1446,left,public-sign,,sign,5383a57f951f1e2b40000016,9493_3.jpg,,sign top left,,,,A,9426_4.jpg,False,9493,3,top left,sky top left corner,sky upper left corner very top,frame or area top left corner,frame or area upper left corner very top,frame:area,a1
1449,,child-boy,,child,537fc027d31907d16d0014f3,9507_3.jpg,,child,,,,A,9493_3.jpg,False,9507,3,bottom right,people on far right,yellow shirt guy on far right,shirt or dudes on far right,yellow shirt or dudes guy on far right,shirt:dudes,a1
