,Testset,file,region,gold,google,saia,google_glen
1374,A,8875,6,board under guys feet sitting down,3rd from right,person on right,all way in front of people
1377,A,8940,3,seal on the left,girl in background on left,person on left,little girl on left
1380,A,8962,5,buildings on the right,building on right,building on right,click anywhere on right
1383,A,8973,9,rightmost circular empty chair,okay so like,person on left,okay so like it
1386,A,9097,5,ground on left,bottom left,ground bottom left,ground bottom left
1389,A,9118,9,ground on the very bottom right corner,ground bottom left,bottom right corner,ground at bottom left side of picture
1392,A,9132,10,fruit in scale,woman in back to left,tree on left,second from left
1395,A,9169,7,lady on the left,person on left,person on left,all way to left
1398,A,9193,5,plate in front of woman,click it is on right,tree on left,click it is on right
1401,A,9216,3,rock below middle guy in blue,person in front,bottom left corner,person in front of her head
1404,A,9230,3,window she is looking out of,blue shirt,group of people,okay so like it is holding
1407,A,9320,3,table,empty chair,people,ground
1410,A,9336,2,left girl,person in back,tree on right,blue shirt
1413,A,9342,1,bird,man on left,tree on left,man
1416,A,9347,7,bottom orangish vase,second from left,any of pic,bottom left corner
1419,A,9350,4,train,window,sky,window
1422,A,9359,3,sign,second from left corner,group of people,green
1425,A,9387,12,hanging pictures on right top side,building on right corner,tree on left,top right next to left corner
1428,A,9394,8,light over right shoulder,lamp on left,person on left,lamp post on left
1431,A,9403,1,his drink,closest to left,person on left,green hat
1434,A,9410,2,ground,ground where there are,ground bottom right,ground
1437,A,9415,12,door way up stairs,building on left,tree on right,building on left side
1440,A,9418,3,fence on top,top right of picture,trees on right,okay so like
1443,A,9426,4,dopey green hat,person in front,person on left,person in front
1446,A,9493,3,sign top left,very top left,very top left,very top left
1449,A,9507,3,child,guy in front of people,person on right,people
1452,A,9517,10,chair under plaid shirt guy,chair closest to left,sky top left,empty chair closest to left
1455,A,9536,3,train,very bottom,grass on right,bottom
1458,A,9540,7,left closest bottle,beer bottle closest to us,guy in front,first beer bottle
1461,A,9672,4,lamp post on right,2nd from right,person on left,lamp post on right
1464,A,9683,7,middle surf board,girl in front of screen,second from left,girl in front
1467,A,9730,4,car,white car on far right,tree on right,right
1470,A,9741,4,bird on right,2nd from girls head,man on right,2nd from right
1473,A,9754,10,third bingo board from right on grey knee,second from right,window on left,second from right side of guy in middle
1476,A,9850,3,the dog,white shirt guy in front,person on left,white shirt
1479,A,9881,8,horse walkig out of the water,man in middle,second from left,man in back row of pic
1482,A,9890,7,plate center guy is holding,that is holding,second from left,that is holding long hair
1485,A,9896,9,chair in background on right,2nd from right,second from left,man on far right side
1488,A,9898,20,flower middle,kid in middle,tree on right,in middle
1491,A,9901,1,bird,sky,tree on left,sky
1494,A,9932,2,top left montan,sky no clouds top right,tree on right,sky top right
1497,A,9996,7,bus in middle,closest to right,ground bottom left,closest to right
0,B,10070,3,sky,sky,sky,sky
3,B,10072,2,the water on the left,water to left,sky top left,water to left of picture
6,B,1009,3,boys shorts,ground bottom right,ground bottom left,bottom right
9,B,1011,3,face,face,building on right,face
12,B,10363,5,tree cluster on right,tall palm tree on right,tree on right,palm tree on right
15,B,10363,6,sky,tall palm trees in middle,sky top left,sky
18,B,1049,3,building,sky,people,sky
21,B,1056,7,MIDDLE FLAG,tree on right,person in red,lamp post
24,B,10589,2,left clouds,top left corner,sky top left,top left
27,B,10600,2,angry woman in red,woman in red shirt,guy in red,woman in red shirt
30,B,10653,1,iguana,top left corner,green grass on right,grass
33,B,10674,1,of frame,ground bottom right,sky,bottom right
36,B,10721,5,left guy,red shirt guy in front,person on left,red shirt
39,B,10725,1,bird,man in blue on left,man on left,man
42,B,10739,2,people,people,people,people
45,B,10775,3,rocck below man,big tree trunk,bottom right corner,grass on right
48,B,10880,4,wall om right,tree on right side,brick wall on right,tree on right
51,B,1088,1,blue bed left,blue part of picture,water on left,click on left
54,B,10992,2,white shirt,man in blue shirt guy,person on right,blue shirt
57,B,11060,4,hills have eyes,sand next to left,trees on right,sand in back
60,B,11089,3,boat*,closest to left,tree on left,left
63,B,11091,1,top sky,sky top right,sky,blue sky
66,B,11160,3,face of girl with ponytail closest to camera,second from right,person on right,that is holding up front of her head
69,B,11160,6,guys head on left,second from left,person on left,second from left corner
72,B,1117,8,anywhere in middle,any of pic,tree on right,any of pic
75,B,1118,7,blue curtain behind right bed middle,window on right,tree on right,window on far right of screen
78,B,11207,6,BLACK SHIRT,man in back,person on left,blue shirt
81,B,11221,3,far left man,guy in red shirt,person on left,guy on left
84,B,11227,3,far left guy,person on far left side,tree on left,2nd from left
87,B,11231,5,mtg? woman in center with glasses and black zip up,man in front,person on left,man in red and black shirt guy on far left
90,B,11254,1,white space above heads,sky,sky,sky upper left corner
93,B,11293,6,ceiling,top right,sky top right,top
96,B,11383,12,the bench thing in the lower right hand corner,very bottom right,window on right,all way to right or whatever is on bottom
99,B,11408,3,mountain,any of photo,ground at bottom,mountains
102,B,11408,7,bottom right corner,guy on right,bottom right corner,guy on right
105,B,11413,8,hat on right up front,man on right,water on right,man on right of table
108,B,11415,5,tree left,clock tower,trees on left,clock tower
111,B,11553,6,desk kids are leannig on,anything but his back wall,second from right,anything but his back wall
114,B,1155,2,floor below bed,ground,water at bottom right,brick wall bed
117,B,11573,9,white thing on wooden chair,bottom left side,any of people,bottom left side of pic
120,B,11575,10,white shirt man,guy in blue shirt,tree on left,person on right
123,B,11678,4,building left side right of left tree,building on left,person on right,white building on left side of picture
126,B,1172,5,The floor,rock that is,ground bottom left,bottom right
129,B,11737,5,food in front left with the spoon in it,ground bottom left,building on right,ground at bottom left bed closest to his face
132,B,11750,3,trees in the background,any part of sky,trees on left,any part of sky
135,B,11834,1,very bottom middle,grass,grass bottom left,grass in front
138,B,11897,1,bird,man in middle,person on right,man
141,B,12142,1,man,red shirt guy,man in middle,guy
144,B,12236,2,mountain,sand at bottom right,people,bottom
147,B,1227,5,lamp closest to the window,wall on right side,tree on right,blue jacket lady on wall
150,B,12484,6,sky,sky top right corner,sky top left,sky
153,B,12497,1,people,group of people on left,people on right,people
156,B,12600,10,top leftcorner,window on left,tree on left,top left
159,B,12705,4,house above the white car,building on far right,people on right,big building on far right
162,B,12732,4,bottles on top of shelf where man is resting his elbow,all way on far right,person on right,all way to far right of picture on table in middle
165,B,12774,3,middle picture,second from right,tree on right,top right
168,B,12832,6,grass right,water to right,bottom left corner,far right
171,B,12850,1,the man in the front center,guy in blue on left,tree on left,guy in middle person on left
174,B,12865,2,The entire group of people,whole group of people,people,person in front of people
177,B,12919,2,righ guy,person all way to right,tree on right,far right
180,B,12956,6,desktop left,bottom left corner,any of people,bottom left
183,B,13188,1,ANY OF THE PEOPLE,group of people on left,people,any part of people
186,B,13291,4,trees in background,palm tree top,any part of people,top left corner
189,B,13331,1,sky,sky top right of pic,sky top right,sky
192,B,13331,2,foreground sand,sand at very bottom,ground bottom left,bottom right
195,B,1333,1,The sidewalk.,dirt at bottom,ground at bottom,bottom right
198,B,13430,2,artifacts to the left of the man in the hat,dirt next to left,building on left,dark area next to you click on left of pic
201,B,13520,1,people,okay so any person,people,people
204,B,13584,1,boat,water,any part of people,water
207,B,13674,2,the lady,blue shirt guy,person on right,blue shirt
210,B,14115,4,the group of rocks at the bottom right,grass bottom right,ground bottom right,small patch of grass on bottom right corner
213,B,14123,3,chunks of land reaching into sea,grassy area on left,man in middle,grassy area next to left corner
216,B,14139,1,ceiling light,mountain range to left,top left corner,top left
219,B,14157,3,water bottle,second from left,tree on left,water bottle
222,B,14471,1,leaves out of bottom,very bottom left,grass at bottom,bottom left of pic
225,B,14657,1,man looking down,yellow shirt guy,person on right,yellow shirt guy
228,B,14708,1,face,face,people,face
231,B,14757,1,bottom left,bottom right of pic,bottom,bottom right
234,B,14764,2,STEPS,bottom of picture on right,ground bottom right,bottom
237,B,14817,1,middle bird,second from left,person on right,far left
240,B,15194,2,wooden floor,all way to left corner,bottom left corner,bottom left
243,B,15366,6,man at top right,guy on right,tree on right,guy on far right
246,B,15405,1,any fish,bottom right corner,water,bottom right
249,B,15422,4,rocker below woman in middle,bottom left side,ground bottom left,bottom left side of pic
252,B,15540,10,the truck,white thing on far left,building on right,white car
255,B,15651,6,group of people nearest bottom right,people on right,okay so like,any person in front of people
258,B,15658,2,green,green trees in middle,grass on left,trees
261,B,15679,2,the clouds,sky at top right,tree on right,white sky
264,B,15867,2,people,any person in middle,person on left,people
267,B,15966,5,small plant above cactus,bush on left,tree on left,green bush on left
270,B,16043,4,top window on left,second from left,water on right,top left of picture
273,B,16130,2,yellow foliage bottom,grass bottom left corner,grass at bottom left,bottom left corner
276,B,16359,2,animal,little girl in back,building on right,girl
279,B,16368,2,monkey,top left corner,tree on right,top
282,B,16379,2,flowers in the corner,bottom left corner,water on left,rocks bottom left corner
285,B,16424,1,sky,any part of sky,sky,sky
288,B,16523,7,pictures above piano,wall on right,building on right,top right corner
291,B,16559,1,man on left,person on left,tree on left,person on left
294,B,16576,4,seal next to the otherseal in the bottom right corner,very bottom right,bottom right side,very bottom right of man in front tire facing us
297,B,16762,8,chair against the window blinds,all way left,water on left,chair all way to left
300,B,16838,1,horse in front,ground bottom,bottom right corner,ground in front
303,B,16988,1,trees bottom right,big palm tree,wall,bottom right corner
306,B,17105,2,front tree,tree on right,tree on right,palm tree
309,B,1714,8,bottom flock of birts,ground at bottom,person on right,ground at very bottom
312,B,1735,12,land between two cactus on right above water,tree on right,ground bottom right,small patch of tree on far right side
315,B,17395,2,window,next to left,sky top left,sky
318,B,17426,6,left person,guy on left,person on left,on left
321,B,1755,3,trees,big tree on far left,trees on left,tree
324,B,17564,2,sky top left,sky,sky,sky top left
327,B,17590,1,waterfall center,palm tree trunk,tree on left,palm tree
330,B,17625,4,front,grass at bottom right corner,ground at bottom,bottom
333,B,1765,5,mountain with road,mountain range,trees on right,mountains in middle
336,B,17669,3,yellow building,yellow building,sky,yellow building
339,B,17774,1,water,grass at bottom right,grass at bottom,water
342,B,17794,1,sky,sky,sky,sky
345,B,17803,1,Large pond,water on left corner,water on left,upper left
348,B,17909,3,under people,ground bottom right,any part of pic,ground bottom
351,B,17929,4,any of the 4 people on the right,group of people on right,people on right,group of people in blue jacket on right
354,B,18205,6,mountains,green trees on right,trees at very bottom right,trees
357,B,1820,5,sky,sky,sky,sky
360,B,18225,10,bottom right grass patch,second from right,second from left,that is on right
363,B,18360,8,very very top left corner,building on left,person on left,all way on far left
366,B,18458,1,sky light?,sky top left of picture,trees on left,top left
369,B,18514,2,That dude in the middle,guy in black jacket,person on left,man in black jacket guy
372,B,18647,2,mountain in distance behind plane,very top right of picture,very top right,very top right of picture
375,B,1867,2,cactus on the far left,second from left,sky top right,brown bottle on far left
378,B,18752,1,person,man,building,man
381,B,18811,2,kid,all way in front,guy in blue,person
384,B,18823,2,rock she is sitting on,ground bottom right,bottom right corner,okay so click bottom right
387,B,18836,5,dude all alone on the right,2nd from right,building on right,man in black thing on right
390,B,18943,1,grass lolz,trees on right corner,grass next to right,bottom right
393,B,19012,6,upper left window,second window on left,water on left,window on left
396,B,19116,1,grass,green,any part of people,bottom
399,B,19170,4,silver car,red car in front,ground bottom right,red car
402,B,19335,6,house in middle,trees on left of building,tree on right,trees on left
405,B,1936,6,The roof tiles visible at the top of the photo,sky top left,second from left,blue sky top left of picture where there are sitting
408,B,19405,2,rooster man,ground in middle,guy in middle,mans head
411,B,19408,2,bed on right,all way on right,people on right,you can see
414,B,19527,12,guy on left,man in front left,palm tree trunk,man in front
417,B,19527,4,table middle,man in front,person on left,bottom right
420,B,19579,1,plants - anywhere,,water,
423,B,19596,4,plant by the stairs,bottom left corner,water on right,all way to left
426,B,19598,9,ceiling,very top right,window on left,sky
429,B,19639,5,nightstand,brick wall on left corner,tree on left,window
432,B,19642,7,left lamp,guy on left,tree on left,on left
435,B,19649,4,very left window,lamp post on left,window on left,2nd from left
438,B,1965,14,plant above heads man yellow jacket,tree on left,wall on left,small patch of picture on left
441,B,19661,1,sky,sky top right,sky,sky
444,B,19680,3,monkey,tree on right,tree on right,tree
447,B,19853,8,black pants,closest to us,very bottom left,bottom right
450,B,19877,3,bag in front of boy,man on left,man on left,man sitting on left corner
453,B,20113,7,yellow chair,that is sitting on right,grass on right,on right
456,B,20162,2,tree,patch of screen,tree trunk on right,green
459,B,20304,4,tree top left,tree on left,trees on left,tree on left
462,B,20310,1,sand bottom left,sand at bottom right corner,sky,bottom right corner
465,B,20383,5,lamp,white car on left,person on left,bed
468,B,20636,2,sky,sky,sky,sky
471,B,20730,2,empty seat right,guy on right,man on right,guy on right
474,B,20753,2,drink most right,second from right,person on right,second from right
477,B,20754,4,brown drink,empty glass next to us,tree on right,empty glass
480,B,20802,4,flat cliff,dark brown wall on left,man on left,on left
483,B,20826,5,right hand guy purple,red shirt guy on right,person on right,guy in red shirt
486,B,20966,3,the pier,building on left,bottom left corner,bottom left
489,B,21066,3,girls face,lady on left,man on left,top left
492,B,21152,1,water,water on top right,any part of picture,water
495,B,21516,5,right bottom,bottom right of pic,wall on right,bottom right
498,B,21685,3,windows,top right side of picture,sky top right,top
501,B,2170,4,Valley and mountains,bottom left corner,water,bottom left corner
504,B,21792,1,the human being,ground,people,girl in front
507,B,21867,2,boat,okay so like you,any of people,yellow
510,B,22010,4,the floor,very bottom right,ground at bottom,bottom right
513,B,22064,2,the mountain,mountain in background hills,any part of mountain,top right
516,B,22168,10,bike right,second from right,person on left,bottom right
519,B,22282,3,sky center,sky at very top,sky,sky top
522,B,22312,7,blue and white plaid shirt,guy in middle,person on right,man in red shirt guy
525,B,22331,1,clouds in upper sky,sky,sky,any part of picture
528,B,22369,11,ROOF 2ND TO LEFT,palm tree trunk on left,guy in middle,palm tree on left
531,B,22403,5,top books,building on right,bottom right corner,top right
534,B,22462,7,trees right side,top right of picture,second from left,second from right
537,B,22579,5,right corner of picture,top right corner,wall on right,top right of picture
540,B,22649,5,rock they are sitting on,ground bottom left,ground bottom left,that is sitting on left
543,B,22706,5,rightmost bike,bike wheel from right side,person on right,lower right
546,B,22886,1,girl left,person in red shirt,person on left,red shirt
549,B,23137,10,guy in tan polo at very back,second from left,person on right,man in front of guy on left
552,B,23173,4,dancing person,person on right,guy on right,white shirt
555,B,23186,3,yellow guys chair,chair on left,person on left,bottom left corner
558,B,23186,4,guy in yellow shirt,people on left,person on right,guy in red shirt
561,B,2324,1,llama,ground bottom,tree on right,bottom
564,B,23250,5,person on right,white shirt guy on right,sky top left,man on right
567,B,23270,10,left building,trees on left,person on right,trees left
570,B,23297,7,sky,sky top right of building,person on right,sky
573,B,23327,4,gazelle in the middle,brown thing on left,person on left,brown thing on left
576,B,23497,8,white car on right side,guy on right,person on right,white shirt guy on right
579,B,23524,3,sky,sky,sky,sky
582,B,23605,4,green building?,2nd from left,tree on right,tall building
585,B,23612,4,left roof,bottom left of building,bottom left corner,bottom left
588,B,23677,2,boy in center,girl in front,person on left,girl in front
591,B,23881,4,mask in middle,click on left,people on right,click on left
594,B,23927,3,big tree to the left,tree on left,tree on left,palm tree on far left
597,B,23947,2,hill behind foreground,large rock on right,mountain range in middle,rock on right
600,B,24012,6,cloud above woman's cap,that is on right,cloud on right,that is on right
603,B,24029,5,left person in vest,guy in middle,person on left,guy in red shirt
606,B,24298,6,water left of guy on left,second from left,water on left,second from left side of water
609,B,24306,8,water to left of words on sign,white building on left,water on left,okay so door on left of pic
612,B,24708,2,sky,sky,sky,sky
615,B,24791,1,large castle,tall building,tree on left,tall building
618,B,24931,1,lol yes. signs on window.,person,building,any part of person standing
621,B,24979,2,sky very top,sky,sky,sky top right
624,B,25058,1,people,group of people sitting,people,people
627,B,2506,8,The stone phallic thing on the far right,building on far right,man on right,2nd from right most building on very bottom
630,B,25175,1,insect,tree on left,tree on left,tree
633,B,2532,2,bottom,grass bottom right,grass,grass
636,B,25510,2,sky,sky,sky,sky
639,B,25542,1,sky,sky top right,sky,sky
642,B,25634,1,Road in front of group being pictured,bottom right of pic,any part of pic,bottom right next to left of pic
645,B,25676,2,bird,top left corner,okay so any person,ground
648,B,25722,1,face,mountain,people,face
651,B,25914,2,sky,sky,sky,sky
654,B,25969,3,person on right,person on right,guy on right,person on right
657,B,25983,3,grass center right,grass on right,grass on right,grass on right
660,B,2602,1,big cloud center,sky top right,sky top right,sky top right
663,B,26033,11,wall of building,window on far left side,person on right,window on left
666,B,26103,2,mist upper left corner,top left corner,sky top left,trees on left corner
669,B,26211,4,island on left,second from left,person on left,second from left
672,B,26227,2,window left,window on left,tree on left,top left
675,B,26251,8,Tree on far left,green on left,trees on right,green stuff on left
678,B,26300,1,boy,person,any person in front,person
681,B,26331,2,above the hat,green grass,trees on right,anything green grass
684,B,26422,9,ground right above the people,girl in black,person on right,click dat closest to left
687,B,26446,2,mountains,trees on right side,any of pic,trees
690,B,26527,9,top middle poster,okay so like,window on left,sky top left
693,B,26557,6,right most person,second from right,person on left,second from right
696,B,26628,7,cabinets bottom left,building on left,person on left,building on left
699,B,26730,3,rock ground,bottom right corner,ground bottom right,ground bottom
702,B,26877,1,giant evil bunny,whatever that has black,any part of people,big rock wall
705,B,26909,4,first flag on the left,person on left,second from left,guy in back on left
708,B,2690,2,window,wall next to left,tree on left,left
711,B,26944,2,man,whatever that has spiders,guy in middle,sky
714,B,26998,2,the tree things to the right,tree on right,tree on right,trees on right tree in middle
717,B,2699,5,under guy feet,sand at bottom,any person in front,sand at bottom
720,B,27034,2,window,tree on left,window on left,left
723,B,27042,4,farthest bird,closest to us on right,person on right,on right
726,B,27053,12,seal right barely see it,man on right,trees on right,man on right of pic
729,B,27100,5,top of picture,building on right,sky,building on right
732,B,27324,4,building 2nd from right,second from right,building on right,palm tree on right
735,B,27407,6,lamp on table,hat on right,tree on right,hat on right
738,B,27427,4,chair that woman is sitting on,second from right,bottom right corner,man with black shirt on right
741,B,27433,1,beans in the bag,rocks on left,rock on right,rocks on left corner
744,B,27617,4,weird wall,wall,any part of pic,brick wall
747,B,27628,4,Overgrown child laying in a hammock,guy on left,tree on right,guy on left side of picture
750,B,2785,3,HILLS IN MIDDLE,dark brown hills,water next to left,dark brown hills
753,B,2907,4,middle left side,mountain,grassy area next to right,mountain on left
756,B,2921,2,tree left,trees on right,trees on left,top right
759,B,30090,3,sky,sky,sky,sky
762,B,30153,5,bike,man in front of picture,guy in front,bike
765,B,30288,1,sky,sky,sky,sky
768,B,3031,1,sky,sky top left,sky top left,sky
771,B,30325,4,sky above the skyscraper,sky,sky top left,sky top left corner
774,B,30357,3,middle person,man in white shirt,guy on right,white shirt
777,B,30476,4,left woman,all way left,person on left,bottom left
780,B,30636,2,sky on left,sky top left,sky top left corner,sky top left
783,B,30701,1,center of the picture,palm tree on left,sky,palm tree on left
786,B,30761,9,right side water,water on right,water on right,water on right
789,B,30828,4,group of fish top center of photo,sky no clouds in middle,sky top left corner,sky no clouds in middle of screen
792,B,30916,6,man by front tire sitting,person on right,person on right,whatever is sitting on right
795,B,30919,1,ground below woman,ground bottom right,bottom,ground bottom right
798,B,30966,3,guy,man,guy in middle,man
801,B,30969,2,picture,any part of people,people on left,people
804,B,3109,4,cows,group of people,sky top right,people
807,B,31115,2,blue car,ground,water on right,bottom right
810,B,31172,1,sky,sky,sky,sky
813,B,31187,3,sand bottom left,bottom,sky,bottom right corner
816,B,31276,6,person holding a child on hip,person in back on right,person on right,person in blue shirt on right
819,B,3127,6,person on front right horse,guy on right,person on left,red shirt guy on right
822,B,31555,3,trees on right,grassy hill,trees on right,group of grass
825,B,31608,2,trees,trees,trees on left,trees
828,B,31619,4,ball,that is holding dudes head,window on right,face
831,B,31691,2,left tree,palm tree on left,tree on left,palm tree
834,B,31740,1,bottom court,tile floor bottom right,grass bottom right corner,bottom right
837,B,31756,1,player in front,white shirt guy on right,tree on right,guy on right
840,B,31825,2,court,any part of green area,grass at bottom right,green
843,B,3191,3,branch lower left,bottom left side,person on left,bottom left side
846,B,31979,1,bottom half for field,bottom,green grass bottom,grass at bottom right
849,B,32120,1,center of field,grass bottom right,grass at bottom right,grass bottom right
852,B,32140,1,sky,sky,sky,sky
855,B,3218,5,surfer second to the left,person 2nd from right,person on right,blue shirt guy on right
858,B,32198,3,top sky,sky,sky,sky top
861,B,3220,9,LEFT CHURCH TOWER,water to us,person on left,water to us
864,B,3221,4,sky,sky top right,sky top right corner,sky
867,B,32251,1,red yello flag,or whatever that last one,guy in middle,whatever that is
870,B,32273,2,large head left of center,closest to left,bottom left corner,closest to us on left
873,B,3234,3,top right white building,green stuff in white building,person on right,white building in back
876,B,32411,4,trees,grass,trees on left corner,grass
879,B,32431,2,whatever on the rock,any of picture,building,any part of pic
882,B,32433,2,rock,ground bottom right,building,ground
885,B,32439,1,bottom right corner,grass bottom right side,grass bottom right corner,grass bottom right
888,B,3275,3,water or sand,water on right of picture,water,water on right
891,B,32840,2,woman on the left w/the red purse,closest to left,man on left,all way to us on far left
894,B,3319,3,trees,tree on right,palm tree on right,tree
897,B,3329,8,yellow house,building on right,tree on right,far right
900,B,3332,2,water behind boats,water,water on left,water in back
903,B,3339,3,left bottom corner,bottom right corner,bottom left corner,bottom right corner
906,B,3415,11,small statue on far right,building on right,tree on right,all way on far right
909,B,3460,4,white building on right side,white building on right,tree on right,white building on right corner
912,B,3495,1,bird,lady in front,person on left,blue
915,B,35604,4,dirt bottom left corner,ground bottom right,ground at bottom,ground bottom right corner
918,B,35621,2,pavement very bottom,bottom right corner,tree on left,bottom right corner
921,B,35640,2,top right sky,sky top,sky top right,sky top right
924,B,35656,9,left building,brick wall on left,person on right,brick wall
927,B,35722,6,mountains,tiny strip of pic,sky top left,sky
930,B,35743,6,man red shirt,man in red shirt guy,guy in red,second from left
933,B,3575,1,green left center,trees on right,palm tree on right,any of pic
936,B,35838,4,sky,sky,sky,sky
939,B,35888,3,tree,tree on left,tree on left,left
942,B,36004,3,trees on right/middle,trees on right,palm tree on right,trees on right
945,B,3604,2,mountain,mountain,trees,mountain
948,B,36072,4,middle building,white thing on left,person on right,white thing
951,B,37098,1,center car,first one up,trees on right,first one
954,B,37166,4,sky upper right,sky top right,sky top right,sky top right
957,B,37220,4,sky top,sky top left side,sky top left,top left
960,B,37244,2,sky,sky,sky,sky
963,B,37249,2,bottom snow,ground at bottom,ground bottom left,bottom right
966,B,37307,1,bottom right corner floor,ground bottom,bottom left corner,okay so like you
969,B,37327,4,click bottom right corner,big rock on bottom right,ground bottom right,trees on bottom right
972,B,37366,6,tree on the left,tree on left,person on left,tree on left corner
975,B,37427,2,tree in the center of the pic,tree on left,tree on left,trees at top left of big tree
978,B,37468,2,person in green shirt middle,guy in front,tree on left,red shirt guy in front
981,B,37471,1,the people,guy,people,any 1
984,B,37496,4,right bro,guy on right,person on right,on right
987,B,37525,3,bottom right,lady in front of people,okay so any 1,any person
990,B,3756,1,sky,sky top left,sky top left,sky
993,B,37652,1,dark green grass,grass bottom right,grass at bottom,grass bottom right
996,B,37719,1,Road,road,bottom,road
999,B,37734,5,street,road,ground bottom left corner,road
1002,B,37797,1,anywhere bottom,ground bottom right,ground bottom left,bottom right
1005,B,37846,3,pointy gravestone foreground,lamp post up,tree on right,lamp post up
1008,B,37890,4,The purple building by the green building.,building on right,window on right,top left side of building on right
1011,B,37925,1,flag left,closest to us on left,guy in front,red shirt
1014,B,37932,5,murica,2nd from left,person in middle,sign
1017,B,37990,2,buildings,any part of pic,trees,sky
1020,B,38019,1,clouds,sky top right,sky,sky
1023,B,38030,10,area to right of bike dude near head,person on left,sky top left,man in background on left side of screen
1026,B,38063,3,sky,sky,sky,sky
1029,B,38114,2,sky,sky,sky,sky
1032,B,38248,5,top sky,sky,sky,blue sky
1035,B,3847,2,brown sorry,rock,people,bottom left
1038,B,3862,2,inbetween the two branches on the left,very bottom right,water,green leaves at very bottom right corner
1041,B,38774,1,bldg in middle,top left,man in middle,building on left
1044,B,39029,3,green brush,grass at bottom,grass at bottom right,bottom right
1047,B,39053,3,top of mountain,sky top right,mountain,sky top right
1050,B,3918,5,grey car in front,sand bottom left,tree on left,sand closest to left
1053,B,39219,3,grass anywhere,very bottom right,bottom,bottom right
1056,B,39309,1,ground,sand bottom,ground bottom left,bottom
1059,B,39405,1,lake,water,water,water
1062,B,39437,1,any part of field,green grass,green grass bottom right,green grass on right
1065,B,39503,1,koala,tree on left,tree on left,wall
1068,B,39520,1,white bird,thing on left,person on left,top left
1071,B,39550,1,sand,ground at very bottom right,ground at bottom,ground
1074,B,39564,2,guy,2nd from left,person on right,person
1077,B,39602,3,stop light,window on right,tree on right,on right
1080,B,39623,1,llighthouse,second from left,second from left,left
1083,B,39736,2,closr big rock left,rock on left,people on left,large rock on left
1086,B,39776,3,rocks to the right,rocks on right,any part of people,any part of picture
1089,B,39800,1,sky,sky,sky,sky
1092,B,39851,2,a kangaroo,grass,palm tree on right,top left
1095,B,39872,3,sky,sky,sky,sky
1098,B,40140,5,grass in front on the right,okay so close to right,grass on right,okay so any part of picture
1101,B,40176,1,bird,tree,person on right,tree
1104,B,40239,3,biggest building,okay so click on left,trees on left,top left
1107,B,40332,3,hightest building middle,tall building on left corner,tree on left,building on left
1110,B,40344,2,building left,sky,people,tall building
1113,B,40448,2,sky,sky,sky,sky
1116,B,40460,2,building to right of tallest one,building on right,tree on right,tall building on right of picture
1119,B,40480,3,center palm tree,tree on left,tree on left,tree on left
1122,B,40490,2,The sky,sky,sky,sky cloud
1125,B,40523,2,horse,man,trees on left,man
1128,B,40557,1,floor,ground bottom left,bottom left corner,ground
1131,B,40648,5,left ostrich,bush on left,person on left,lamp post
1134,B,40684,1,bottom left rock,ground bottom right,water,ground bottom right
1137,B,4263,7,pants of first man on right,lady in middle,grass bottom right,black shirt and lady in middle
1140,B,4272,1,tree right,tree on right,tree on right,bottom right
1143,B,4275,4,window in fornt,dark brown door,ground bottom left,dark brown door
1146,B,4277,7,big center doorway,group of pic,palm tree on right corner,group of pic
1149,B,4446,5,front of water,water,water at bottom,water at bottom
1152,B,4449,3,man,man in black shirt,any person on left,person
1155,B,4510,7,Boat,2nd from left,water on left,building
1158,B,4561,3,seal in the center laying dead,man on left,man in middle,man in front of her hand
1161,B,4610,3,ice,any part of pic,sky,water
1164,B,4718,13,yellow sign towards the back of the green and white bus,second from left,tree on left,all way to left of building on far away from right
1167,B,4746,4,building,big building,people,building
1170,B,4861,11,group of sticks directly in center of picture over the middle hammock,guy in middle,person on right,chair closest to right of guy in back row 2nd from left
1173,B,4899,19,white wall middle,building on right,ground bottom right,building on right
1176,B,4951,1,the front animal on the left,click on left of pic,person on left,click on left side of pic
1179,B,4952,6,rightmost side of the hill,grassy area on right,tree on right,grassy area on far right
1182,B,4988,6,sky,sky,sky top right,sky
1185,B,5013,11,tree just right of fountain,tree on right,second from left,palm tree on far right
1188,B,5059,3,mountains middle,mountain range just right,top left corner,mountain range
1191,B,5105,1,the lady,little girl,any person in front,little girl
1194,B,5107,8,left side of pic sidewalk,man on left corner,trees on right,man on far left corner
1197,B,6306,7,top right trees,tree on far right,tree on right,tree on right
1200,B,6327,7,mountains above far left head,any person on right side,trees on left,any person on right side
1203,B,64,5,sky,sky,sky,sky
1206,B,6639,2,top left corner,top left corner,top left corner,top left corner
1209,B,672,1,santa,man in front of people,any part of people,people
1212,B,6901,1,road,bottom left,ground at bottom left,sand
1215,B,6933,3,group of people,large group of people,people on right,group of people
1218,B,7005,4,bottom left man,man in front,person on left,man in front
1221,B,7022,2,hill not ppl,grassy area on left,trees,grass on right
1224,B,7031,6,ground below and left and orange,very bottom left,ground bottom left,grass at bottom left of pic
1227,B,7037,2,bird in front of people,person in front,water on right,person in front of pic
1230,B,7047,1,man on right edge,guy on right,man on right,man sitting on right
1233,B,7065,3,left of the kid's face on the ground,sand to left side,wall on left,okay so close to left side of boy
1236,B,7089,2,bamboo structure,any part of screen,top,top left
